seq,contract_no,sales_order_id,sales_order_number,purchase_order_number,party_a,party_b,customer_id,customer_account,city,state,country,territory,order_date,due_date,ship_date,expiration_date,governing_law,ship_method,carrier_tracking,product_categories,product_subcategories,total_line_items,products,subtotal,tax_amount,freight,total_due,card_type,pdf_filename,pdf_path
11,AWC-SO43669-011,43669,SO43669,PO14123169936,"Adventure Works Cycles, Inc.",The Bike Shop,29747,AW00029747,Puyallup,Washington,United States,Northwest,"May 31, 2011","June 12, 2011","June 07, 2011","June 11, 2012","Province of British Columbia, Canada",CARGO TRANSPORT 5,B65C-4867-86,Components,Mountain Frames,1,"HL Mountain Frame - Black, 38",714.7043,70.5175,22.0367,807.2585,Vista,aw_contract_SO43669.pdf,d:\CUAD\cuad\CUAD_v1\aw_contracts\aw_contract_SO43669.pdf
12,AWC-SO43670-012,43670,SO43670,PO14384116310,"Adventure Works Cycles, Inc.",Historic Bicycle Sales,29566,AW00029566,Redford,Michigan,United States,Central,"May 31, 2011","June 12, 2011","June 07, 2011","June 11, 2012",State of Arizona,CARGO TRANSPORT 5,F101-4649-85,Clothing; Bikes,Socks; Mountain Bikes,4,"Mountain Bike Socks, L; Mountain Bike Socks, M; Mountain-100 Silver, 44; Mountain-100 Black, 42",6122.082,587.5603,183.6126,6893.2549,Vista,aw_contract_SO43670.pdf,d:\CUAD\cuad\CUAD_v1\aw_contracts\aw_contract_SO43670.pdf
13,AWC-SO43671-013,43671,SO43671,PO13978119376,"Adventure Works Cycles, Inc.",Basic Bike Company,29890,AW00029890,Port Orchard,Washington,United States,Northwest,"May 31, 2011","June 12, 2011","June 07, 2011","June 11, 2012",State of Georgia,CARGO TRANSPORT 5,DFD9-41B7-94,Bikes; Clothing; Components; Accessories,Road Bikes; Jerseys; Road Frames; Helmets,11,"Road-150 Red, 56; Long-Sleeve Logo Jersey, M; Road-450 Red, 44; Road-650 Black, 44; ML Road Frame - Red, 48; Road-650 Red, 48; Road-450 Red, 60; Road-650 Red, 52; Long-Sleeve Logo Jersey, XL; Sport-100 Helmet, Blue; Sport-100 Helmet, Black",8128.7876,780.8136,244.0042,9153.6054,Vista,aw_contract_SO43671.pdf,d:\CUAD\cuad\CUAD_v1\aw_contracts\aw_contract_SO43671.pdf
14,AWC-SO43672-014,43672,SO43672,PO13862153537,"Adventure Works Cycles, Inc.",Red Bicycle Company,30067,AW00030067,Pnot-Rouge,Quebec,Canada,Canada,"May 31, 2011","June 12, 2011","June 07, 2011","June 11, 2012",State of New York,CARGO TRANSPORT 5,F4B5-48D0-BA,Clothing; Bikes,Socks; Mountain Bikes,3,"Mountain Bike Socks, M; Mountain-100 Black, 42; Mountain-100 Silver, 48",6124.182,587.6023,183.6257,6895.41,Vista,aw_contract_SO43672.pdf,d:\CUAD\cuad\CUAD_v1\aw_contracts\aw_contract_SO43672.pdf
15,AWC-SO43673-015,43673,SO43673,PO13775141242,"Adventure Works Cycles, Inc.",Seventh Bike Store,29844,AW00029844,Plaistow,New Hampshire,United States,Northeast,"May 31, 2011","June 12, 2011","June 07, 2011","June 11, 2012",State of Texas,CARGO TRANSPORT 5,260F-4DCF-A1,Bikes; Clothing; Components; Accessories,Road Bikes; Jerseys; Road Frames; Caps; Helmets,11,"Road-450 Red, 58; Long-Sleeve Logo Jersey, L; LL Road Frame - Red, 60; Road-650 Red, 62; Road-650 Red, 44; LL Road Frame - Black, 52; Road-650 Black, 52; AWC Logo Cap; Sport-100 Helmet, Black; Sport-100 Helmet, Blue; Sport-100 Helmet, Red",3746.2015,357.9614,111.8629,4216.0258,Vista,aw_contract_SO43673.pdf,d:\CUAD\cuad\CUAD_v1\aw_contracts\aw_contract_SO43673.pdf
16,AWC-SO43674-016,43674,SO43674,PO12760141756,"Adventure Works Cycles, Inc.",Requisite Part Supply,29596,AW00029596,Ottawa,Ontario,Canada,Canada,"May 31, 2011","June 12, 2011","June 07, 2011","June 11, 2012",State of New York,CARGO TRANSPORT 5,4C12-4FF9-80,Bikes,Road Bikes,1,"Road-450 Red, 52",2624.382,251.9407,78.7315,2955.0542,SuperiorCard,aw_contract_SO43674.pdf,d:\CUAD\cuad\CUAD_v1\aw_contracts\aw_contract_SO43674.pdf
17,AWC-SO43675-017,43675,SO43675,PO12412186464,"Adventure Works Cycles, Inc.",First Bike Store,29827,AW00029827,Odessa,Missouri,United States,Central,"May 31, 2011","June 12, 2011","June 07, 2011","June 11, 2012",State of Texas,CARGO TRANSPORT 5,5069-4470-BE,Bikes; Accessories; Components; Clothing,Road Bikes; Helmets; Road Frames; Caps; Jerseys,9,"Road-650 Red, 62; Sport-100 Helmet, Blue; LL Road Frame - Black, 52; Sport-100 Helmet, Black; Road-650 Red, 44; Road-450 Red, 52; AWC Logo Cap; Road-450 Red, 58; Long-Sleeve Logo Jersey, L",5716.3102,546.8759,170.8987,6434.0848,Vista,aw_contract_SO43675.pdf,d:\CUAD\cuad\CUAD_v1\aw_contracts\aw_contract_SO43675.pdf
18,AWC-SO43676-018,43676,SO43676,PO11861165059,"Adventure Works Cycles, Inc.",Trusted Catalog Store,29811,AW00029811,Newport News,Virginia,United States,Southeast,"May 31, 2011","June 12, 2011","June 07, 2011","June 11, 2012",State of California,CARGO TRANSPORT 5,11BA-4D19-B7,Bikes; Clothing,Mountain Bikes; Socks,5,"Mountain-100 Black, 42; Mountain-100 Black, 48; Mountain Bike Socks, L; Mountain-100 Black, 38; Mountain Bike Socks, M",14203.458,1363.266,426.0206,15992.7446,ColonialVoice,aw_contract_SO43676.pdf,d:\CUAD\cuad\CUAD_v1\aw_contracts\aw_contract_SO43676.pdf
19,AWC-SO43677-019,43677,SO43677,PO11049174786,"Adventure Works Cycles, Inc.",Superb Sales and Repair,29824,AW00029824,Montreal,Quebec,Canada,Canada,"May 31, 2011","June 12, 2011","June 07, 2011","June 11, 2012",State of California,CARGO TRANSPORT 5,8E3A-4564-99,Clothing; Bikes; Accessories; Components,Jerseys; Road Bikes; Helmets; Caps; Road Frames,12,"Long-Sleeve Logo Jersey, L; Road-150 Red, 56; Road-450 Red, 52; Road-650 Black, 52; Sport-100 Helmet, Black; Road-650 Red, 60; Road-650 Black, 58; Road-650 Red, 48; AWC Logo Cap; Sport-100 Helmet, Red; Road-450 Red, 58; LL Road Frame - Red, 60",7793.1108,747.1011,233.4691,8773.681,SuperiorCard,aw_contract_SO43677.pdf,d:\CUAD\cuad\CUAD_v1\aw_contracts\aw_contract_SO43677.pdf
20,AWC-SO43678-020,43678,SO43678,PO10817150168,"Adventure Works Cycles, Inc.",Separate Parts Corporation,29889,AW00029889,Monrovia,California,United States,Southwest,"May 31, 2011","June 12, 2011","June 07, 2011","June 11, 2012",State of Texas,CARGO TRANSPORT 5,FBD8-4CE4-8B,Bikes; Components; Clothing; Accessories,Road Bikes; Road Frames; Caps; Helmets; Jerseys,19,"Road-650 Red, 60; LL Road Frame - Black, 52; Road-650 Black, 58; ML Road Frame - Red, 48; Road-650 Red, 44; Road-650 Red, 62; AWC Logo Cap; Sport-100 Helmet, Black; LL Road Frame - Red, 60; Road-450 Red, 44; LL Road Frame - Red, 44; Long-Sleeve Logo Jersey, XL; Road-650 Black, 52; Road-450 Red, 52; Long-Sleeve Logo Jersey, L; Road-450 Red, 58; Road-450 Red, 60; Sport-100 Helmet, Blue; Sport-100 Helmet, Red",9799.9243,942.074,294.3981,11036.3964,Vista,aw_contract_SO43678.pdf,d:\CUAD\cuad\CUAD_v1\aw_contracts\aw_contract_SO43678.pdf
21,AWC-SO43679-021,43679,SO43679,PO10527142759,"Adventure Works Cycles, Inc.",General Bike Corporation,29761,AW00029761,Mississauga,Ontario,Canada,Canada,"May 31, 2011","June 12, 2011","June 07, 2011","June 11, 2012",State of Georgia,CARGO TRANSPORT 5,918F-49F3-AD,Bikes; Clothing,Road Bikes; Jerseys,3,"Road-650 Red, 60; Road-650 Black, 52; Long-Sleeve Logo Jersey, L",1316.0575,125.8032,39.3135,1481.1742,SuperiorCard,aw_contract_SO43679.pdf,d:\CUAD\cuad\CUAD_v1\aw_contracts\aw_contract_SO43679.pdf
22,AWC-SO43680-022,43680,SO43680,PO10730130087,"Adventure Works Cycles, Inc.",Area Bike Accessories,29489,AW00029489,Modesto,California,United States,Southwest,"May 31, 2011","June 12, 2011","June 07, 2011","June 11, 2012",State of Arizona,CARGO TRANSPORT 5,FF1F-4DD0-98,Bikes; Components; Accessories; Clothing,Road Bikes; Road Frames; Helmets; Jerseys,12,"Road-650 Red, 60; Road-450 Red, 44; LL Road Frame - Black, 52; Sport-100 Helmet, Red; LL Road Frame - Red, 60; Sport-100 Helmet, Blue; Long-Sleeve Logo Jersey, L; LL Road Frame - Red, 44; Road-450 Red, 52; Road-650 Red, 62; Road-150 Red, 56; Sport-100 Helmet, Black",11397.4992,1093.6394,341.7623,12832.9009,Distinguish,aw_contract_SO43680.pdf,d:\CUAD\cuad\CUAD_v1\aw_contracts\aw_contract_SO43680.pdf
