"CurrencyRateID","CurrencyRateDate","FromCurrencyCode","ToCurrencyCode","AverageRate","EndOfDayRate","ModifiedDate"
"75","6/5/2011 12:00:00 AM","USD","JPY","106.4200","106.4030","6/5/2011 12:00:00 AM"
"76","6/5/2011 12:00:00 AM","USD","MXN","9.3350","9.3270","6/5/2011 12:00:00 AM"
"77","6/5/2011 12:00:00 AM","USD","SAR","3.7507","3.7500","6/5/2011 12:00:00 AM"
"78","6/5/2011 12:00:00 AM","USD","VEB","636.2500","636.2500","6/5/2011 12:00:00 AM"
"79","6/6/2011 12:00:00 AM","USD","ARS","1.0000","1.0005","6/6/2011 12:00:00 AM"
"80","6/6/2011 12:00:00 AM","USD","AUD","1.5645","1.5652","6/6/2011 12:00:00 AM"
"81","6/6/2011 12:00:00 AM","USD","BRL","1.9330","1.9379","6/6/2011 12:00:00 AM"
"82","6/6/2011 12:00:00 AM","USD","CAD","1.4621","1.4661","6/6/2011 12:00:00 AM"
"83","6/6/2011 12:00:00 AM","USD","CNY","8.2784","8.2784","6/6/2011 12:00:00 AM"
"84","6/6/2011 12:00:00 AM","USD","DEM","1.8987","1.8990","6/6/2011 12:00:00 AM"
"85","6/6/2011 12:00:00 AM","USD","EUR","0.9708","0.9716","6/6/2011 12:00:00 AM"
"86","6/6/2011 12:00:00 AM","USD","FRF","6.3678","6.3681","6/6/2011 12:00:00 AM"
"87","6/6/2011 12:00:00 AM","USD","GBP","0.6177","0.6179","6/6/2011 12:00:00 AM"
"88","6/6/2011 12:00:00 AM","USD","JPY","106.3800","106.4479","6/6/2011 12:00:00 AM"
"89","6/6/2011 12:00:00 AM","USD","MXN","9.3350","9.3439","6/6/2011 12:00:00 AM"
"90","6/6/2011 12:00:00 AM","USD","SAR","3.7509","3.7566","6/6/2011 12:00:00 AM"
"91","6/6/2011 12:00:00 AM","USD","VEB","636.2500","636.2899","6/6/2011 12:00:00 AM"
"92","6/7/2011 12:00:00 AM","USD","ARS","1.0000","0.9998","6/7/2011 12:00:00 AM"
"93","6/7/2011 12:00:00 AM","USD","AUD","1.5679","1.5678","6/7/2011 12:00:00 AM"
"94","6/7/2011 12:00:00 AM","USD","BRL","1.9330","1.9230","6/7/2011 12:00:00 AM"
"95","6/7/2011 12:00:00 AM","USD","CAD","1.4623","1.4604","6/7/2011 12:00:00 AM"
"96","6/7/2011 12:00:00 AM","USD","CNY","8.2784","8.2779","6/7/2011 12:00:00 AM"
"97","6/7/2011 12:00:00 AM","USD","DEM","1.8965","1.8957","6/7/2011 12:00:00 AM"
"98","6/7/2011 12:00:00 AM","USD","EUR","0.9697","0.9690","6/7/2011 12:00:00 AM"
"99","6/7/2011 12:00:00 AM","USD","FRF","6.3605","6.3605","6/7/2011 12:00:00 AM"
"100","6/7/2011 12:00:00 AM","USD","GBP","0.6171","0.6163","6/7/2011 12:00:00 AM"
"101","6/7/2011 12:00:00 AM","USD","JPY","105.7400","105.7159","6/7/2011 12:00:00 AM"
"102","6/7/2011 12:00:00 AM","USD","MXN","9.3250","9.3230","6/7/2011 12:00:00 AM"
"103","6/7/2011 12:00:00 AM","USD","SAR","3.7507","3.7410","6/7/2011 12:00:00 AM"
"104","6/7/2011 12:00:00 AM","USD","VEB","636.3999","636.3200","6/7/2011 12:00:00 AM"
"105","6/8/2011 12:00:00 AM","USD","ARS","1.0000","1.0008","6/8/2011 12:00:00 AM"
"106","6/8/2011 12:00:00 AM","USD","AUD","1.5726","1.5734","6/8/2011 12:00:00 AM"
"107","6/8/2011 12:00:00 AM","USD","BRL","1.9330","1.9339","6/8/2011 12:00:00 AM"
"108","6/8/2011 12:00:00 AM","USD","CAD","1.4658","1.4752","6/8/2011 12:00:00 AM"
"109","6/8/2011 12:00:00 AM","USD","CNY","8.2783","8.2786","6/8/2011 12:00:00 AM"
"110","6/8/2011 12:00:00 AM","USD","DEM","1.8967","1.8971","6/8/2011 12:00:00 AM"
"111","6/8/2011 12:00:00 AM","USD","EUR","0.9697","0.9706","6/8/2011 12:00:00 AM"
"112","6/8/2011 12:00:00 AM","USD","FRF","6.3611","6.3613","6/8/2011 12:00:00 AM"
"113","6/8/2011 12:00:00 AM","USD","GBP","0.6159","0.6163","6/8/2011 12:00:00 AM"
"114","6/8/2011 12:00:00 AM","USD","JPY","104.4700","104.5400","6/8/2011 12:00:00 AM"
"115","6/8/2011 12:00:00 AM","USD","MXN","9.3399","9.3399","6/8/2011 12:00:00 AM"
"116","6/8/2011 12:00:00 AM","USD","SAR","3.7507","3.7555","6/8/2011 12:00:00 AM"
"117","6/8/2011 12:00:00 AM","USD","VEB","636.7500","636.8400","6/8/2011 12:00:00 AM"
"118","6/9/2011 12:00:00 AM","USD","ARS","1.0000","0.9998","6/9/2011 12:00:00 AM"
"119","6/9/2011 12:00:00 AM","USD","AUD","1.5810","1.5810","6/9/2011 12:00:00 AM"
"120","6/9/2011 12:00:00 AM","USD","BRL","1.9290","1.9199","6/9/2011 12:00:00 AM"
"121","6/9/2011 12:00:00 AM","USD","CAD","1.4678","1.4588","6/9/2011 12:00:00 AM"
"122","6/9/2011 12:00:00 AM","USD","CNY","8.2783","8.2779","6/9/2011 12:00:00 AM"
"123","6/9/2011 12:00:00 AM","USD","DEM","1.9117","1.9109","6/9/2011 12:00:00 AM"
"124","6/9/2011 12:00:00 AM","USD","EUR","0.9774","0.9770","6/9/2011 12:00:00 AM"
"125","6/9/2011 12:00:00 AM","USD","FRF","6.4115","6.4109","6/9/2011 12:00:00 AM"
"126","6/9/2011 12:00:00 AM","USD","GBP","0.6191","0.6189","6/9/2011 12:00:00 AM"
"127","6/9/2011 12:00:00 AM","USD","JPY","104.5600","104.5480","6/9/2011 12:00:00 AM"
"128","6/9/2011 12:00:00 AM","USD","MXN","9.3070","9.2989","6/9/2011 12:00:00 AM"
"129","6/9/2011 12:00:00 AM","USD","SAR","3.7507","3.7502","6/9/2011 12:00:00 AM"
"130","6/9/2011 12:00:00 AM","USD","VEB","637.2500","637.1699","6/9/2011 12:00:00 AM"
"131","6/10/2011 12:00:00 AM","USD","ARS","1.0000","1.0004","6/10/2011 12:00:00 AM"
"132","6/10/2011 12:00:00 AM","USD","AUD","1.5768","1.5772","6/10/2011 12:00:00 AM"
"133","6/10/2011 12:00:00 AM","USD","BRL","1.9299","1.9310","6/10/2011 12:00:00 AM"
"134","6/10/2011 12:00:00 AM","USD","CAD","1.4679","1.4738","6/10/2011 12:00:00 AM"
"135","6/10/2011 12:00:00 AM","USD","CNY","8.2370","8.2379","6/10/2011 12:00:00 AM"
"136","6/10/2011 12:00:00 AM","USD","DEM","1.9192","1.9194","6/10/2011 12:00:00 AM"
"137","6/10/2011 12:00:00 AM","USD","EUR","0.9812","0.9812","6/10/2011 12:00:00 AM"
"138","6/10/2011 12:00:00 AM","USD","FRF","6.4366","6.4366","6/10/2011 12:00:00 AM"
"139","6/10/2011 12:00:00 AM","USD","GBP","0.6202","0.6210","6/10/2011 12:00:00 AM"
"140","6/10/2011 12:00:00 AM","USD","JPY","104.4100","104.4590","6/10/2011 12:00:00 AM"
"141","6/10/2011 12:00:00 AM","USD","MXN","9.3100","9.3109","6/10/2011 12:00:00 AM"
"142","6/10/2011 12:00:00 AM","USD","SAR","3.7507","3.7597","6/10/2011 12:00:00 AM"
"143","6/10/2011 12:00:00 AM","USD","VEB","637.5000","637.5700","6/10/2011 12:00:00 AM"
"144","6/11/2011 12:00:00 AM","USD","ARS","1.0000","0.9991","6/11/2011 12:00:00 AM"
"145","6/11/2011 12:00:00 AM","USD","AUD","1.5701","1.5694","6/11/2011 12:00:00 AM"
"146","6/11/2011 12:00:00 AM","USD","BRL","1.9265","1.9219","6/11/2011 12:00:00 AM"
"147","6/11/2011 12:00:00 AM","USD","CAD","1.4672","1.4662","6/11/2011 12:00:00 AM"
"148","6/11/2011 12:00:00 AM","USD","CNY","8.2370","8.2369","6/11/2011 12:00:00 AM"
"149","6/11/2011 12:00:00 AM","USD","DEM","1.9292","1.9287","6/11/2011 12:00:00 AM"
"150","6/11/2011 12:00:00 AM","USD","EUR","0.9864","0.9859","6/11/2011 12:00:00 AM"
"151","6/11/2011 12:00:00 AM","USD","FRF","6.4702","6.4695","6/11/2011 12:00:00 AM"
"152","6/11/2011 12:00:00 AM","USD","GBP","0.6208","0.6200","6/11/2011 12:00:00 AM"
"153","6/11/2011 12:00:00 AM","USD","JPY","103.9900","103.9090","6/11/2011 12:00:00 AM"
"154","6/11/2011 12:00:00 AM","USD","MXN","9.3599","9.3520","6/11/2011 12:00:00 AM"
"155","6/11/2011 12:00:00 AM","USD","SAR","3.7505","3.7492","6/11/2011 12:00:00 AM"
"156","6/11/2011 12:00:00 AM","USD","VEB","637.7500","637.7500","6/11/2011 12:00:00 AM"
"157","6/12/2011 12:00:00 AM","USD","ARS","1.0000","1.0004","6/12/2011 12:00:00 AM"
"158","6/12/2011 12:00:00 AM","USD","AUD","1.5686","1.5687","6/12/2011 12:00:00 AM"
"159","6/12/2011 12:00:00 AM","USD","BRL","1.9239","1.9270","6/12/2011 12:00:00 AM"
"160","6/12/2011 12:00:00 AM","USD","CAD","1.4678","1.4714","6/12/2011 12:00:00 AM"
"161","6/12/2011 12:00:00 AM","USD","CNY","8.2370","8.2373","6/12/2011 12:00:00 AM"
"162","6/12/2011 12:00:00 AM","USD","DEM","1.9231","1.9236","6/12/2011 12:00:00 AM"
"163","6/12/2011 12:00:00 AM","USD","EUR","0.9832","0.9834","6/12/2011 12:00:00 AM"
"164","6/12/2011 12:00:00 AM","USD","FRF","6.4499","6.4505","6/12/2011 12:00:00 AM"
"165","6/12/2011 12:00:00 AM","USD","GBP","0.6231","0.6232","6/12/2011 12:00:00 AM"
"166","6/12/2011 12:00:00 AM","USD","JPY","101.8500","101.9230","6/12/2011 12:00:00 AM"
"167","6/12/2011 12:00:00 AM","USD","MXN","9.3599","9.3599","6/12/2011 12:00:00 AM"
"168","6/12/2011 12:00:00 AM","USD","SAR","3.7507","3.7524","6/12/2011 12:00:00 AM"
"169","6/12/2011 12:00:00 AM","USD","VEB","638.5000","638.5800","6/12/2011 12:00:00 AM"
"170","6/13/2011 12:00:00 AM","USD","ARS","1.0000","0.9992","6/13/2011 12:00:00 AM"
"171","6/13/2011 12:00:00 AM","USD","AUD","1.5769","1.5767","6/13/2011 12:00:00 AM"
"172","6/13/2011 12:00:00 AM","USD","BRL","1.9239","1.9179","6/13/2011 12:00:00 AM"
"173","6/13/2011 12:00:00 AM","USD","CAD","1.4683","1.4644","6/13/2011 12:00:00 AM"
"174","6/13/2011 12:00:00 AM","USD","CNY","8.2370","8.2367","6/13/2011 12:00:00 AM"
"175","6/13/2011 12:00:00 AM","USD","DEM","1.9265","1.9262","6/13/2011 12:00:00 AM"
"176","6/13/2011 12:00:00 AM","USD","EUR","0.9849","0.9844","6/13/2011 12:00:00 AM"
"177","6/13/2011 12:00:00 AM","USD","FRF","6.4614","6.4607","6/13/2011 12:00:00 AM"
"178","6/13/2011 12:00:00 AM","USD","GBP","0.6229","0.6227","6/13/2011 12:00:00 AM"
"179","6/13/2011 12:00:00 AM","USD","JPY","102.5500","102.4929","6/13/2011 12:00:00 AM"
"180","6/13/2011 12:00:00 AM","USD","MXN","9.3599","9.3580","6/13/2011 12:00:00 AM"
"181","6/13/2011 12:00:00 AM","USD","SAR","3.7507","3.7448","6/13/2011 12:00:00 AM"
"182","6/13/2011 12:00:00 AM","USD","VEB","638.5000","638.4199","6/13/2011 12:00:00 AM"
"183","6/14/2011 12:00:00 AM","USD","ARS","1.0000","1.0007","6/14/2011 12:00:00 AM"
"184","6/14/2011 12:00:00 AM","USD","AUD","1.5708","1.5708","6/14/2011 12:00:00 AM"
"185","6/14/2011 12:00:00 AM","USD","BRL","1.9239","1.9250","6/14/2011 12:00:00 AM"
"186","6/14/2011 12:00:00 AM","USD","CAD","1.4724","1.4738","6/14/2011 12:00:00 AM"
"187","6/14/2011 12:00:00 AM","USD","CNY","8.2370","8.2375","6/14/2011 12:00:00 AM"
"188","6/14/2011 12:00:00 AM","USD","DEM","1.9345","1.9353","6/14/2011 12:00:00 AM"
"189","6/14/2011 12:00:00 AM","USD","EUR","0.9890","0.9897","6/14/2011 12:00:00 AM"
"190","6/14/2011 12:00:00 AM","USD","FRF","6.4882","6.4886","6/14/2011 12:00:00 AM"
"191","6/14/2011 12:00:00 AM","USD","GBP","0.6238","0.6243","6/14/2011 12:00:00 AM"
"192","6/14/2011 12:00:00 AM","USD","JPY","102.3300","102.3940","6/14/2011 12:00:00 AM"
"193","6/14/2011 12:00:00 AM","USD","MXN","9.3499","9.3510","6/14/2011 12:00:00 AM"
"194","6/14/2011 12:00:00 AM","USD","SAR","3.7505","3.7595","6/14/2011 12:00:00 AM"
"195","6/14/2011 12:00:00 AM","USD","VEB","638.5000","638.5299","6/14/2011 12:00:00 AM"
"196","6/15/2011 12:00:00 AM","USD","ARS","1.0000","0.9990","6/15/2011 12:00:00 AM"
"197","6/15/2011 12:00:00 AM","USD","AUD","1.5741","1.5739","6/15/2011 12:00:00 AM"
"198","6/15/2011 12:00:00 AM","USD","BRL","1.9239","1.9139","6/15/2011 12:00:00 AM"
"199","6/15/2011 12:00:00 AM","USD","CAD","1.4742","1.4723","6/15/2011 12:00:00 AM"
"200","6/15/2011 12:00:00 AM","USD","CNY","8.2370","8.2367","6/15/2011 12:00:00 AM"
"201","6/15/2011 12:00:00 AM","USD","DEM","1.9393","1.9391","6/15/2011 12:00:00 AM"
"202","6/15/2011 12:00:00 AM","USD","EUR","0.9916","0.9907","6/15/2011 12:00:00 AM"
"203","6/15/2011 12:00:00 AM","USD","FRF","6.5042","6.5038","6/15/2011 12:00:00 AM"
"204","6/15/2011 12:00:00 AM","USD","GBP","0.6256","0.6247","6/15/2011 12:00:00 AM"
"205","6/15/2011 12:00:00 AM","USD","JPY","102.0900","102.0550","6/15/2011 12:00:00 AM"
"206","6/15/2011 12:00:00 AM","USD","MXN","9.3499","9.3430","6/15/2011 12:00:00 AM"
"207","6/15/2011 12:00:00 AM","USD","SAR","3.7505","3.7496","6/15/2011 12:00:00 AM"
"208","6/15/2011 12:00:00 AM","USD","VEB","638.5000","638.5000","6/15/2011 12:00:00 AM"
"209","6/16/2011 12:00:00 AM","USD","ARS","1.0000","1.0007","6/16/2011 12:00:00 AM"
"210","6/16/2011 12:00:00 AM","USD","AUD","1.5706","1.5712","6/16/2011 12:00:00 AM"
"211","6/16/2011 12:00:00 AM","USD","BRL","1.9239","1.9330","6/16/2011 12:00:00 AM"
"212","6/16/2011 12:00:00 AM","USD","CAD","1.4744","1.4755","6/16/2011 12:00:00 AM"
"213","6/16/2011 12:00:00 AM","USD","CNY","8.2370","8.2372","6/16/2011 12:00:00 AM"
"214","6/16/2011 12:00:00 AM","USD","DEM","1.9378","1.9379","6/16/2011 12:00:00 AM"
"215","6/16/2011 12:00:00 AM","USD","EUR","0.9908","0.9911","6/16/2011 12:00:00 AM"
"216","6/16/2011 12:00:00 AM","USD","FRF","6.4991","6.4999","6/16/2011 12:00:00 AM"
"217","6/16/2011 12:00:00 AM","USD","GBP","0.6252","0.6256","6/16/2011 12:00:00 AM"
"218","6/16/2011 12:00:00 AM","USD","JPY","102.3400","102.4060","6/16/2011 12:00:00 AM"
"219","6/16/2011 12:00:00 AM","USD","MXN","9.3499","9.3499","6/16/2011 12:00:00 AM"
"220","6/16/2011 12:00:00 AM","USD","SAR","3.7505","3.7545","6/16/2011 12:00:00 AM"
"221","6/16/2011 12:00:00 AM","USD","VEB","638.5000","638.5499","6/16/2011 12:00:00 AM"
"222","6/17/2011 12:00:00 AM","USD","ARS","1.0000","0.9991","6/17/2011 12:00:00 AM"
"223","6/17/2011 12:00:00 AM","USD","AUD","1.5792","1.5786","6/17/2011 12:00:00 AM"
"224","6/17/2011 12:00:00 AM","USD","BRL","1.9239","1.9219","6/17/2011 12:00:00 AM"
"225","6/17/2011 12:00:00 AM","USD","CAD","1.4800","1.4702","6/17/2011 12:00:00 AM"
"226","6/17/2011 12:00:00 AM","USD","CNY","8.2370","8.2370","6/17/2011 12:00:00 AM"
"227","6/17/2011 12:00:00 AM","USD","DEM","1.9443","1.9441","6/17/2011 12:00:00 AM"
"228","6/17/2011 12:00:00 AM","USD","EUR","0.9940","0.9939","6/17/2011 12:00:00 AM"
"229","6/17/2011 12:00:00 AM","USD","FRF","6.5210","6.5208","6/17/2011 12:00:00 AM"
"230","6/17/2011 12:00:00 AM","USD","GBP","0.6254","0.6248","6/17/2011 12:00:00 AM"
"231","6/17/2011 12:00:00 AM","USD","JPY","102.5700","102.5420","6/17/2011 12:00:00 AM"
"232","6/17/2011 12:00:00 AM","USD","MXN","9.3499","9.3480","6/17/2011 12:00:00 AM"
"233","6/17/2011 12:00:00 AM","USD","SAR","3.7505","3.7442","6/17/2011 12:00:00 AM"
"234","6/17/2011 12:00:00 AM","USD","VEB","638.5000","638.4800","6/17/2011 12:00:00 AM"
"235","6/18/2011 12:00:00 AM","USD","ARS","1.0000","1.0001","6/18/2011 12:00:00 AM"
"236","6/18/2011 12:00:00 AM","USD","AUD","1.5823","1.5831","6/18/2011 12:00:00 AM"
"237","6/18/2011 12:00:00 AM","USD","BRL","1.9239","1.9330","6/18/2011 12:00:00 AM"
"238","6/18/2011 12:00:00 AM","USD","CAD","1.4802","1.4861","6/18/2011 12:00:00 AM"
"239","6/18/2011 12:00:00 AM","USD","CNY","8.2370","8.2378","6/18/2011 12:00:00 AM"
"240","6/18/2011 12:00:00 AM","USD","DEM","1.9531","1.9531","6/18/2011 12:00:00 AM"
"241","6/18/2011 12:00:00 AM","USD","EUR","0.9986","0.9990","6/18/2011 12:00:00 AM"
"242","6/18/2011 12:00:00 AM","USD","FRF","6.5503","6.5511","6/18/2011 12:00:00 AM"
"243","6/18/2011 12:00:00 AM","USD","GBP","0.6248","0.6254","6/18/2011 12:00:00 AM"
"244","6/18/2011 12:00:00 AM","USD","JPY","102.4700","102.4770","6/18/2011 12:00:00 AM"
"245","6/18/2011 12:00:00 AM","USD","MXN","9.3499","9.3580","6/18/2011 12:00:00 AM"
"246","6/18/2011 12:00:00 AM","USD","SAR","3.7505","3.7578","6/18/2011 12:00:00 AM"
"247","6/18/2011 12:00:00 AM","USD","VEB","638.5000","638.5099","6/18/2011 12:00:00 AM"
"248","6/19/2011 12:00:00 AM","USD","ARS","1.0000","0.9993","6/19/2011 12:00:00 AM"
"249","6/19/2011 12:00:00 AM","USD","AUD","1.5825","1.5822","6/19/2011 12:00:00 AM"
"250","6/19/2011 12:00:00 AM","USD","BRL","1.9239","1.9179","6/19/2011 12:00:00 AM"
"251","6/19/2011 12:00:00 AM","USD","CAD","1.4823","1.4817","6/19/2011 12:00:00 AM"
"252","6/19/2011 12:00:00 AM","USD","CNY","8.2370","8.2367","6/19/2011 12:00:00 AM"
"253","6/19/2011 12:00:00 AM","USD","DEM","1.9519","1.9516","6/19/2011 12:00:00 AM"
"254","6/19/2011 12:00:00 AM","USD","EUR","0.9980","0.9973","6/19/2011 12:00:00 AM"
"255","6/19/2011 12:00:00 AM","USD","FRF","6.5465","6.5456","6/19/2011 12:00:00 AM"
"256","6/19/2011 12:00:00 AM","USD","GBP","0.6248","0.6245","6/19/2011 12:00:00 AM"
"257","6/19/2011 12:00:00 AM","USD","JPY","102.8500","102.7840","6/19/2011 12:00:00 AM"
"258","6/19/2011 12:00:00 AM","USD","MXN","9.3499","9.3450","6/19/2011 12:00:00 AM"
"259","6/19/2011 12:00:00 AM","USD","SAR","3.7505","3.7482","6/19/2011 12:00:00 AM"
"260","6/19/2011 12:00:00 AM","USD","VEB","638.5000","638.4299","6/19/2011 12:00:00 AM"
"261","6/20/2011 12:00:00 AM","USD","ARS","1.0000","1.0004","6/20/2011 12:00:00 AM"
