"PurchaseOrderID","RevisionNumber","Status","EmployeeID","VendorID","ShipMethodID","OrderDate","ShipDate","SubTotal","TaxAmt","Freight","TotalDue","ModifiedDate"
"33","4","4","257","1672","4","1/16/2012 12:00:00 AM","1/25/2012 12:00:00 AM","421.1550","33.6924","10.5289","465.3763","1/25/2012 12:00:00 AM"
"34","4","3","261","1600","1","1/16/2012 12:00:00 AM","1/25/2012 12:00:00 AM","1276.2750","102.1020","31.9069","1410.2839","1/25/2012 12:00:00 AM"
"35","4","4","251","1522","1","1/16/2012 12:00:00 AM","1/25/2012 12:00:00 AM","2003.9250","160.3140","50.0981","2214.3371","1/25/2012 12:00:00 AM"
"36","4","4","253","1570","2","1/16/2012 12:00:00 AM","1/25/2012 12:00:00 AM","50860.4250","4068.8340","1271.5106","56200.7696","1/25/2012 12:00:00 AM"
"37","4","4","255","1516","1","1/16/2012 12:00:00 AM","1/25/2012 12:00:00 AM","454.8600","36.3888","11.3715","502.6203","1/25/2012 12:00:00 AM"
"38","6","4","256","1506","5","1/16/2012 12:00:00 AM","1/25/2012 12:00:00 AM","43878.4500","3510.2760","1096.9613","48485.6873","1/25/2012 12:00:00 AM"
"39","4","4","252","1626","2","1/16/2012 12:00:00 AM","1/25/2012 12:00:00 AM","7132.1250","570.5700","178.3031","7880.9981","1/25/2012 12:00:00 AM"
"40","4","4","260","1542","2","1/16/2012 12:00:00 AM","1/25/2012 12:00:00 AM","28343.7000","2267.4960","708.5925","31319.7885","1/25/2012 12:00:00 AM"
"41","4","4","258","1610","4","1/16/2012 12:00:00 AM","1/25/2012 12:00:00 AM","22516.7250","1801.3380","562.9181","24880.9811","1/25/2012 12:00:00 AM"
"42","5","4","254","1638","5","1/16/2012 12:00:00 AM","1/25/2012 12:00:00 AM","34644.2250","2771.5380","866.1056","38281.8686","1/25/2012 12:00:00 AM"
"43","4","4","257","1582","5","1/16/2012 12:00:00 AM","1/25/2012 12:00:00 AM","427.9275","34.2342","10.6982","472.8599","1/25/2012 12:00:00 AM"
"44","4","3","261","1510","5","1/16/2012 12:00:00 AM","1/25/2012 12:00:00 AM","143.0415","11.4433","3.5760","158.0608","1/25/2012 12:00:00 AM"
"45","4","4","250","1526","2","1/16/2012 12:00:00 AM","1/25/2012 12:00:00 AM","28199.3250","2255.9460","704.9831","31160.2541","1/25/2012 12:00:00 AM"
"46","4","4","253","1644","1","1/16/2012 12:00:00 AM","1/25/2012 12:00:00 AM","3713.3250","297.0660","92.8331","4103.2241","1/25/2012 12:00:00 AM"
"47","4","4","255","1680","5","1/16/2012 12:00:00 AM","1/25/2012 12:00:00 AM","63831.0750","5106.4860","1595.7769","70533.3379","1/25/2012 12:00:00 AM"
"48","4","4","256","1584","5","1/16/2012 12:00:00 AM","1/25/2012 12:00:00 AM","16340.3100","1307.2248","408.5078","18056.0426","1/25/2012 12:00:00 AM"
"49","4","4","259","1620","5","1/20/2012 12:00:00 AM","1/29/2012 12:00:00 AM","5711.4750","456.9180","142.7869","6311.1799","1/29/2012 12:00:00 AM"
"50","5","4","260","1666","5","1/20/2012 12:00:00 AM","1/29/2012 12:00:00 AM","429.3450","34.3476","10.7336","474.4262","1/29/2012 12:00:00 AM"
"51","4","4","258","1592","2","1/20/2012 12:00:00 AM","1/29/2012 12:00:00 AM","97.9650","7.8372","2.4491","108.2513","1/29/2012 12:00:00 AM"
"52","4","4","254","1618","4","1/20/2012 12:00:00 AM","1/29/2012 12:00:00 AM","114.4710","9.1577","2.8618","126.4905","1/29/2012 12:00:00 AM"
"53","4","4","252","1612","4","1/24/2012 12:00:00 AM","2/2/2012 12:00:00 AM","132.6465","10.6117","3.3162","146.5744","2/2/2012 12:00:00 AM"
"54","6","3","261","1586","5","1/24/2012 12:00:00 AM","2/2/2012 12:00:00 AM","43878.4500","3510.2760","1096.9613","48485.6873","2/2/2012 12:00:00 AM"
"55","4","4","251","1500","1","1/24/2012 12:00:00 AM","2/2/2012 12:00:00 AM","418.9500","33.5160","10.4738","462.9398","2/2/2012 12:00:00 AM"
"56","4","4","253","1656","4","1/24/2012 12:00:00 AM","2/2/2012 12:00:00 AM","525.7665","42.0613","13.1442","580.9720","2/2/2012 12:00:00 AM"
"57","4","4","255","1572","1","1/24/2012 12:00:00 AM","2/2/2012 12:00:00 AM","461.7900","36.9432","11.5448","510.2780","2/2/2012 12:00:00 AM"
"58","4","4","256","1562","4","1/24/2012 12:00:00 AM","2/2/2012 12:00:00 AM","630.3780","50.4302","15.7595","696.5677","2/2/2012 12:00:00 AM"
"59","9","4","259","1662","2","1/24/2012 12:00:00 AM","2/2/2012 12:00:00 AM","37.0755","2.9660","0.9269","40.9684","2/2/2012 12:00:00 AM"
"60","4","4","260","1682","4","1/24/2012 12:00:00 AM","2/2/2012 12:00:00 AM","21558.0750","1724.6460","538.9519","23821.6729","2/2/2012 12:00:00 AM"
"61","4","4","258","1686","4","1/24/2012 12:00:00 AM","2/2/2012 12:00:00 AM","507.0870","40.5670","12.6772","560.3312","2/2/2012 12:00:00 AM"
"62","4","4","254","1684","5","1/24/2012 12:00:00 AM","2/2/2012 12:00:00 AM","41048.7000","3283.8960","1026.2175","45358.8135","2/2/2012 12:00:00 AM"
"63","4","4","257","1534","5","1/24/2012 12:00:00 AM","2/2/2012 12:00:00 AM","429.3450","34.3476","10.7336","474.4262","2/2/2012 12:00:00 AM"
"64","5","3","261","1614","5","1/24/2012 12:00:00 AM","2/2/2012 12:00:00 AM","279.1530","22.3322","6.9788","308.4640","2/2/2012 12:00:00 AM"
"65","4","4","251","1588","5","1/24/2012 12:00:00 AM","2/2/2012 12:00:00 AM","40471.2000","3237.6960","1011.7800","44720.6760","2/2/2012 12:00:00 AM"
"66","5","4","253","1622","5","1/24/2012 12:00:00 AM","2/2/2012 12:00:00 AM","563.5665","45.0853","14.0892","622.7410","2/2/2012 12:00:00 AM"
"67","4","4","255","1632","5","1/24/2012 12:00:00 AM","2/2/2012 12:00:00 AM","62092.8000","4967.4240","1552.3200","68612.5440","2/2/2012 12:00:00 AM"
"68","5","4","256","1608","5","1/24/2012 12:00:00 AM","2/2/2012 12:00:00 AM","5948.2500","475.8600","148.7063","6572.8163","2/2/2012 12:00:00 AM"
"69","4","4","259","1576","5","1/25/2012 12:00:00 AM","2/3/2012 12:00:00 AM","91117.9500","7289.4360","2277.9488","100685.3348","2/3/2012 12:00:00 AM"
"70","5","4","260","1590","1","1/25/2012 12:00:00 AM","2/3/2012 12:00:00 AM","525.0000","42.0000","13.1250","580.1250","2/3/2012 12:00:00 AM"
"71","4","4","258","1514","5","1/25/2012 12:00:00 AM","2/3/2012 12:00:00 AM","2003.6835","160.2947","50.0921","2214.0703","2/3/2012 12:00:00 AM"
"72","4","4","254","1498","4","1/25/2012 12:00:00 AM","2/3/2012 12:00:00 AM","26455.2750","2116.4220","661.3819","29233.0789","2/3/2012 12:00:00 AM"
"73","4","4","257","1674","2","2/9/2012 12:00:00 AM","2/18/2012 12:00:00 AM","944.3700","75.5496","23.6093","1043.5289","2/18/2012 12:00:00 AM"
"74","6","3","261","1652","4","2/9/2012 12:00:00 AM","2/18/2012 12:00:00 AM","44594.5500","3567.5640","1114.8638","49276.9778","2/18/2012 12:00:00 AM"
"75","4","4","251","1578","3","2/9/2012 12:00:00 AM","2/18/2012 12:00:00 AM","62843.5500","5027.4840","1571.0888","69442.1228","2/18/2012 12:00:00 AM"
"76","4","4","253","1538","5","2/9/2012 12:00:00 AM","2/18/2012 12:00:00 AM","37843.5750","3027.4860","946.0894","41817.1504","2/18/2012 12:00:00 AM"
"77","4","4","252","1556","4","2/9/2012 12:00:00 AM","2/18/2012 12:00:00 AM","25531.2750","2042.5020","638.2819","28212.0589","2/18/2012 12:00:00 AM"
"78","4","4","256","1554","5","2/9/2012 12:00:00 AM","2/18/2012 12:00:00 AM","694.1655","55.5332","17.3541","767.0528","2/18/2012 12:00:00 AM"
"79","4","4","259","1688","4","2/9/2012 12:00:00 AM","2/18/2012 12:00:00 AM","125.7480","10.0598","3.1437","138.9515","2/18/2012 12:00:00 AM"
"80","4","4","260","1580","5","2/9/2012 12:00:00 AM","2/18/2012 12:00:00 AM","150.7905","12.0632","3.7698","166.6235","2/18/2012 12:00:00 AM"
"81","4","4","258","1496","5","2/9/2012 12:00:00 AM","2/18/2012 12:00:00 AM","560.0070","44.8006","14.0002","618.8078","2/18/2012 12:00:00 AM"
"82","5","4","254","1494","2","2/9/2012 12:00:00 AM","2/18/2012 12:00:00 AM","8847.3000","707.7840","221.1825","9776.2665","2/18/2012 12:00:00 AM"
"83","4","4","257","1650","5","2/9/2012 12:00:00 AM","2/18/2012 12:00:00 AM","171.0765","13.6861","4.2769","189.0395","2/18/2012 12:00:00 AM"
"84","4","3","261","1654","4","2/9/2012 12:00:00 AM","2/18/2012 12:00:00 AM","20397.3000","1631.7840","509.9325","22539.0165","2/18/2012 12:00:00 AM"
"85","4","4","251","1664","3","2/9/2012 12:00:00 AM","2/18/2012 12:00:00 AM","14628.0750","1170.2460","365.7019","16164.0229","2/18/2012 12:00:00 AM"
"86","5","4","253","1678","3","2/9/2012 12:00:00 AM","2/18/2012 12:00:00 AM","58685.5500","4694.8440","1467.1388","64847.5328","2/18/2012 12:00:00 AM"
"87","4","4","255","1616","5","2/9/2012 12:00:00 AM","2/18/2012 12:00:00 AM","773.0100","61.8408","19.3253","854.1761","2/18/2012 12:00:00 AM"
"88","5","4","252","1492","5","2/9/2012 12:00:00 AM","2/18/2012 12:00:00 AM","656.5860","52.5269","16.4147","725.5276","2/18/2012 12:00:00 AM"
"89","4","4","259","1602","5","2/23/2012 12:00:00 AM","3/3/2012 12:00:00 AM","1796.0355","143.6828","44.9009","1984.6192","3/3/2012 12:00:00 AM"
"90","4","4","260","1540","4","2/23/2012 12:00:00 AM","3/3/2012 12:00:00 AM","358.6275","28.6902","8.9657","396.2834","3/3/2012 12:00:00 AM"
"91","4","4","258","1628","5","2/23/2012 12:00:00 AM","3/3/2012 12:00:00 AM","34644.2250","2771.5380","866.1056","38281.8686","3/3/2012 12:00:00 AM"
"92","4","4","250","1604","4","2/23/2012 12:00:00 AM","3/3/2012 12:00:00 AM","257.5755","20.6060","6.4394","284.6209","3/3/2012 12:00:00 AM"
"93","4","4","257","1690","5","2/27/2012 12:00:00 AM","3/7/2012 12:00:00 AM","146.2860","11.7029","3.6572","161.6461","3/7/2012 12:00:00 AM"
"94","4","3","261","1566","5","2/27/2012 12:00:00 AM","3/7/2012 12:00:00 AM","102.5640","8.2051","2.5641","113.3332","3/7/2012 12:00:00 AM"
"95","4","4","251","1698","5","2/27/2012 12:00:00 AM","3/7/2012 12:00:00 AM","150.7905","12.0632","3.7698","166.6235","3/7/2012 12:00:00 AM"
"96","4","4","253","1560","5","2/27/2012 12:00:00 AM","3/7/2012 12:00:00 AM","13669.4250","1093.5540","341.7356","15104.7146","3/7/2012 12:00:00 AM"
"97","6","4","255","1692","5","3/8/2012 12:00:00 AM","3/17/2012 12:00:00 AM","16393.2300","1311.4584","409.8308","18114.5192","3/17/2012 12:00:00 AM"
"98","4","4","256","1696","4","3/8/2012 12:00:00 AM","3/17/2012 12:00:00 AM","73377.1500","5870.1720","1834.4288","81081.7508","3/17/2012 12:00:00 AM"
"99","4","4","259","1504","1","3/8/2012 12:00:00 AM","3/17/2012 12:00:00 AM","551.8800","44.1504","13.7970","609.8274","3/17/2012 12:00:00 AM"
"100","4","4","260","1544","1","3/8/2012 12:00:00 AM","3/17/2012 12:00:00 AM","6987.7500","559.0200","174.6938","7721.4638","3/17/2012 12:00:00 AM"
"101","5","4","258","1530","2","3/8/2012 12:00:00 AM","3/17/2012 12:00:00 AM","28072.2750","2245.7820","701.8069","31019.8639","3/17/2012 12:00:00 AM"
"102","4","4","254","1508","1","3/8/2012 12:00:00 AM","3/17/2012 12:00:00 AM","35394.9750","2831.5980","884.8744","39111.4474","3/17/2012 12:00:00 AM"
"103","4","4","257","1694","1","3/8/2012 12:00:00 AM","3/17/2012 12:00:00 AM","3407.2500","272.5800","85.1813","3765.0113","3/17/2012 12:00:00 AM"
"104","4","3","261","1624","2","3/8/2012 12:00:00 AM","3/17/2012 12:00:00 AM","28297.5000","2263.8000","707.4375","31268.7375","3/17/2012 12:00:00 AM"
"105","4","4","251","1548","2","3/8/2012 12:00:00 AM","3/17/2012 12:00:00 AM","59.9445","4.7956","1.4986","66.2387","3/17/2012 12:00:00 AM"
"106","4","4","253","1598","4","3/8/2012 12:00:00 AM","3/17/2012 12:00:00 AM","332.9550","26.6364","8.3239","367.9153","3/17/2012 12:00:00 AM"
"107","4","4","255","1658","5","3/8/2012 12:00:00 AM","3/17/2012 12:00:00 AM","43878.4500","3510.2760","1096.9613","48485.6873","3/17/2012 12:00:00 AM"
"108","4","4","256","1536","4","3/8/2012 12:00:00 AM","3/17/2012 12:00:00 AM","674.3835","53.9507","16.8596","745.1938","3/17/2012 12:00:00 AM"
"109","4","4","259","1568","2","3/8/2012 12:00:00 AM","3/17/2012 12:00:00 AM","31398.6750","2511.8940","784.9669","34695.5359","3/17/2012 12:00:00 AM"
"110","4","4","250","1648","5","3/8/2012 12:00:00 AM","3/17/2012 12:00:00 AM","142.4115","11.3929","3.5603","157.3647","3/17/2012 12:00:00 AM"
"111","4","4","258","1646","5","3/8/2012 12:00:00 AM","3/17/2012 12:00:00 AM","19236.5250","1538.9220","480.9131","21256.3601","3/17/2012 12:00:00 AM"
"112","4","4","254","1672","4","3/8/2012 12:00:00 AM","3/17/2012 12:00:00 AM","272.4435","21.7955","6.8111","301.0501","3/17/2012 12:00:00 AM"
"113","5","4","257","1600","1","3/9/2012 12:00:00 AM","3/18/2012 12:00:00 AM","1276.2750","102.1020","31.9069","1410.2839","3/18/2012 12:00:00 AM"
"114","4","3","261","1522","1","3/9/2012 12:00:00 AM","3/18/2012 12:00:00 AM","2003.9250","160.3140","50.0981","2214.3371","3/18/2012 12:00:00 AM"
"115","4","4","251","1570","2","3/9/2012 12:00:00 AM","3/18/2012 12:00:00 AM","50860.4250","4068.8340","1271.5106","56200.7696","3/18/2012 12:00:00 AM"
"116","4","4","253","1516","1","3/9/2012 12:00:00 AM","3/18/2012 12:00:00 AM","454.8600","36.3888","11.3715","502.6203","3/18/2012 12:00:00 AM"
"117","4","4","255","1506","5","3/9/2012 12:00:00 AM","3/18/2012 12:00:00 AM","43878.4500","3510.2760","1096.9613","48485.6873","3/18/2012 12:00:00 AM"
"118","5","4","256","1626","2","3/9/2012 12:00:00 AM","3/18/2012 12:00:00 AM","7132.1250","570.5700","178.3031","7880.9981","3/18/2012 12:00:00 AM"
"119","4","4","259","1542","2","3/9/2012 12:00:00 AM","3/18/2012 12:00:00 AM","28343.7000","2267.4960","708.5925","31319.7885","3/18/2012 12:00:00 AM"
"120","4","4","260","1610","4","3/9/2012 12:00:00 AM","3/18/2012 12:00:00 AM","22516.7250","1801.3380","562.9181","24880.9811","3/18/2012 12:00:00 AM"
"121","4","4","250","1638","5","3/9/2012 12:00:00 AM","3/18/2012 12:00:00 AM","34644.2250","2771.5380","866.1056","38281.8686","3/18/2012 12:00:00 AM"
"122","4","4","254","1582","4","3/9/2012 12:00:00 AM","3/18/2012 12:00:00 AM","266.2380","21.2990","6.6560","294.1930","3/18/2012 12:00:00 AM"
"123","5","4","257","1510","5","3/9/2012 12:00:00 AM","3/18/2012 12:00:00 AM","143.0415","11.4433","3.5760","158.0608","3/18/2012 12:00:00 AM"
"124","4","3","261","1526","2","3/9/2012 12:00:00 AM","3/18/2012 12:00:00 AM","28199.3250","2255.9460","704.9831","31160.2541","3/18/2012 12:00:00 AM"
"125","4","4","251","1644","1","3/9/2012 12:00:00 AM","3/18/2012 12:00:00 AM","3713.3250","297.0660","92.8331","4103.2241","3/18/2012 12:00:00 AM"
"126","4","4","253","1680","5","3/9/2012 12:00:00 AM","3/18/2012 12:00:00 AM","63831.0750","5106.4860","1595.7769","70533.3379","3/18/2012 12:00:00 AM"
"127","4","4","255","1584","5","3/9/2012 12:00:00 AM","3/18/2012 12:00:00 AM","16340.3100","1307.2248","408.5078","18056.0426","3/18/2012 12:00:00 AM"
"128","4","4","256","1620","5","3/9/2012 12:00:00 AM","3/18/2012 12:00:00 AM","5711.4750","456.9180","142.7869","6311.1799","3/18/2012 12:00:00 AM"
"129","4","4","259","1666","4","3/14/2012 12:00:00 AM","3/23/2012 12:00:00 AM","665.0280","53.2022","16.6257","734.8559","3/23/2012 12:00:00 AM"
"130","4","4","260","1592","2","3/14/2012 12:00:00 AM","3/23/2012 12:00:00 AM","97.9650","7.8372","2.4491","108.2513","3/23/2012 12:00:00 AM"
"131","4","4","258","1618","4","3/14/2012 12:00:00 AM","3/23/2012 12:00:00 AM","114.4710","9.1577","2.8618","126.4905","3/23/2012 12:00:00 AM"
"132","6","4","254","1612","4","3/14/2012 12:00:00 AM","3/23/2012 12:00:00 AM","132.6465","10.6117","3.3162","146.5744","3/23/2012 12:00:00 AM"
"133","4","4","257","1586","5","3/28/2012 12:00:00 AM","4/6/2012 12:00:00 AM","43878.4500","3510.2760","1096.9613","48485.6873","4/6/2012 12:00:00 AM"
"134","4","3","261","1500","1","3/28/2012 12:00:00 AM","4/6/2012 12:00:00 AM","418.9500","33.5160","10.4738","462.9398","4/6/2012 12:00:00 AM"
"135","4","4","251","1656","4","3/28/2012 12:00:00 AM","4/6/2012 12:00:00 AM","3413.2455","273.0596","85.3311","3771.6362","4/6/2012 12:00:00 AM"
"136","4","4","253","1572","1","3/28/2012 12:00:00 AM","4/6/2012 12:00:00 AM","461.7900","36.9432","11.5448","510.2780","4/6/2012 12:00:00 AM"
"137","6","4","255","1562","4","4/11/2012 12:00:00 AM","4/20/2012 12:00:00 AM","722.4525","57.7962","18.0613","798.3100","4/20/2012 12:00:00 AM"
"138","4","4","256","1662","2","4/11/2012 12:00:00 AM","4/20/2012 12:00:00 AM","37.0755","2.9660","0.9269","40.9684","4/20/2012 12:00:00 AM"
"139","5","4","252","1682","4","4/11/2012 12:00:00 AM","4/20/2012 12:00:00 AM","21558.0750","1724.6460","538.9519","23821.6729","4/20/2012 12:00:00 AM"
"140","4","4","260","1686","4","4/11/2012 12:00:00 AM","4/20/2012 12:00:00 AM","351.8550","28.1484","8.7964","388.7998","4/20/2012 12:00:00 AM"
"141","4","4","258","1684","4","4/11/2012 12:00:00 AM","4/20/2012 12:00:00 AM","45172.0500","3613.7640","1129.3013","49915.1153","4/20/2012 12:00:00 AM"
"142","6","4","254","1534","4","4/11/2012 12:00:00 AM","4/20/2012 12:00:00 AM","267.1830","21.3746","6.6796","295.2372","4/20/2012 12:00:00 AM"
"143","4","4","257","1614","5","4/11/2012 12:00:00 AM","4/20/2012 12:00:00 AM","415.8000","33.2640","10.3950","459.4590","4/20/2012 12:00:00 AM"
"144","5","3","261","1588","5","4/11/2012 12:00:00 AM","4/20/2012 12:00:00 AM","40471.2000","3237.6960","1011.7800","44720.6760","4/20/2012 12:00:00 AM"
"145","4","4","250","1622","4","4/11/2012 12:00:00 AM","4/20/2012 12:00:00 AM","662.0985","52.9679","16.5525","731.6189","4/20/2012 12:00:00 AM"
"146","4","4","253","1632","5","4/11/2012 12:00:00 AM","4/20/2012 12:00:00 AM","62092.8000","4967.4240","1552.3200","68612.5440","4/20/2012 12:00:00 AM"
"147","4","4","255","1608","5","4/11/2012 12:00:00 AM","4/20/2012 12:00:00 AM","5948.2500","475.8600","148.7063","6572.8163","4/20/2012 12:00:00 AM"
"148","4","4","256","1576","5","4/11/2012 12:00:00 AM","4/20/2012 12:00:00 AM","91117.9500","7289.4360","2277.9488","100685.3348","4/20/2012 12:00:00 AM"
"149","4","4","259","1590","1","4/11/2012 12:00:00 AM","4/20/2012 12:00:00 AM","525.0000","42.0000","13.1250","580.1250","4/20/2012 12:00:00 AM"
"150","4","4","260","1514","5","4/11/2012 12:00:00 AM","4/20/2012 12:00:00 AM","2003.6835","160.2947","50.0921","2214.0703","4/20/2012 12:00:00 AM"
"151","5","4","258","1498","4","4/11/2012 12:00:00 AM","4/20/2012 12:00:00 AM","26455.2750","2116.4220","661.3819","29233.0789","4/20/2012 12:00:00 AM"
"152","4","4","254","1674","2","4/11/2012 12:00:00 AM","4/20/2012 12:00:00 AM","944.3700","75.5496","23.6093","1043.5289","4/20/2012 12:00:00 AM"
"153","4","4","252","1652","1","5/2/2012 12:00:00 AM","5/11/2012 12:00:00 AM","6993.5250","559.4820","174.8381","7727.8451","5/11/2012 12:00:00 AM"
"154","4","3","261","1578","3","5/2/2012 12:00:00 AM","5/11/2012 12:00:00 AM","36122.6250","2889.8100","903.0656","39915.5006","5/11/2012 12:00:00 AM"
"155","4","4","251","1538","5","5/2/2012 12:00:00 AM","5/11/2012 12:00:00 AM","37843.5750","3027.4860","946.0894","41817.1504","5/11/2012 12:00:00 AM"
"156","5","4","253","1556","4","5/2/2012 12:00:00 AM","5/11/2012 12:00:00 AM","25531.2750","2042.5020","638.2819","28212.0589","5/11/2012 12:00:00 AM"
"157","4","4","255","1554","5","5/30/2012 12:00:00 AM","6/8/2012 12:00:00 AM","773.9550","61.9164","19.3489","855.2203","6/8/2012 12:00:00 AM"
"158","4","4","256","1688","4","5/30/2012 12:00:00 AM","6/8/2012 12:00:00 AM","125.7480","10.0598","3.1437","138.9515","6/8/2012 12:00:00 AM"
"159","4","4","259","1580","5","5/30/2012 12:00:00 AM","6/8/2012 12:00:00 AM","150.7905","12.0632","3.7698","166.6235","6/8/2012 12:00:00 AM"
"160","4","4","260","1496","4","5/30/2012 12:00:00 AM","6/8/2012 12:00:00 AM","391.5450","31.3236","9.7886","432.6572","6/8/2012 12:00:00 AM"
"161","4","4","258","1494","2","5/30/2012 12:00:00 AM","6/8/2012 12:00:00 AM","8847.3000","707.7840","221.1825","9776.2665","6/8/2012 12:00:00 AM"
"162","4","4","254","1650","5","5/30/2012 12:00:00 AM","6/8/2012 12:00:00 AM","171.0765","13.6861","4.2769","189.0395","6/8/2012 12:00:00 AM"
"163","4","4","257","1654","4","5/30/2012 12:00:00 AM","6/8/2012 12:00:00 AM","20397.3000","1631.7840","509.9325","22539.0165","6/8/2012 12:00:00 AM"
