"CurrencyCode","Name","ModifiedDate"
"MXN","Mexican Peso","4/30/2008 12:00:00 AM"
"MYR","Malaysian Ringgit","4/30/2008 12:00:00 AM"
"NAD","Namibia Dollar","4/30/2008 12:00:00 AM"
"NGN","Naira","4/30/2008 12:00:00 AM"
"NLG","Netherlands Guilder","4/30/2008 12:00:00 AM"
"NOK","Norwegian Krone","4/30/2008 12:00:00 AM"
"NPR","Nepalese Rupee","4/30/2008 12:00:00 AM"
"NZD","New Zealand Dollar","4/30/2008 12:00:00 AM"
"OMR","Omani Rial","4/30/2008 12:00:00 AM"
"PAB","Balboa","4/30/2008 12:00:00 AM"
"PEN","Nuevo Sol","4/30/2008 12:00:00 AM"
"PHP","Philippine Peso","4/30/2008 12:00:00 AM"
"PKR","Pakistan Rupee","4/30/2008 12:00:00 AM"
"PLN","Zloty","4/30/2008 12:00:00 AM"
"PLZ","Polish Zloty(old)","4/30/2008 12:00:00 AM"
"PTE","Portuguese Escudo","4/30/2008 12:00:00 AM"
"PYG","Guarani","4/30/2008 12:00:00 AM"
"ROL","Leu","4/30/2008 12:00:00 AM"
"RUB","Russian Ruble","4/30/2008 12:00:00 AM"
"RUR","Russian Ruble(old)","4/30/2008 12:00:00 AM"
"SAR","Saudi Riyal","4/30/2008 12:00:00 AM"
"SEK","Swedish Krona","4/30/2008 12:00:00 AM"
"SGD","Singapore Dollar","4/30/2008 12:00:00 AM"
"SIT","Tolar","4/30/2008 12:00:00 AM"
"SKK","Slovak Koruna","4/30/2008 12:00:00 AM"
"SVC","El Salvador Colon","4/30/2008 12:00:00 AM"
"THB","Baht","4/30/2008 12:00:00 AM"
"TND","Tunisian Dinar","4/30/2008 12:00:00 AM"
"TRL","Turkish Lira","4/30/2008 12:00:00 AM"
"TTD","Trinidad and Tobago Dollar","4/30/2008 12:00:00 AM"
"TWD","New Taiwan Dollar","4/30/2008 12:00:00 AM"
"USD","US Dollar","4/30/2008 12:00:00 AM"
"UYU","Uruguayan Peso","4/30/2008 12:00:00 AM"
"VEB","Bolivar","4/30/2008 12:00:00 AM"
"VND","Dong","4/30/2008 12:00:00 AM"
"XOF","CFA Franc BCEAO","4/30/2008 12:00:00 AM"
"ZAR","Rand","4/30/2008 12:00:00 AM"
"ZWD","Zimbabwe Dollar","4/30/2008 12:00:00 AM"
