SalesOrderID,SalesOrderNumber,CustomerID,CustomerName,AccountNumber,City,State,Country,PostalCode,TerritoryName,PurchaseOrderNumber,OrderDate,DueDate,ShipDate,ShipMethod,CarrierTracking,CardType,SubTotal,TaxAmt,Freight,TotalDue,Products,ProductCategories,ProductSubcategories,TotalLineItems
43669,SO43669,29747,The Bike Shop,AW00029747,Puyallup,Washington,United States,98371,Northwest,PO14123169936,5/31/2011 12:00:00 AM,6/12/2011 12:00:00 AM,6/7/2011 12:00:00 AM,CARGO TRANSPORT 5,B65C-4867-86,Vista,714.7043,70.5175,22.0367,807.2585,"HL Mountain Frame - Black, 38",Components,Mountain Frames,1
43670,SO43670,29566,Historic Bicycle Sales,AW00029566,Redford,Michigan,United States,48239,Central,PO14384116310,5/31/2011 12:00:00 AM,6/12/2011 12:00:00 AM,6/7/2011 12:00:00 AM,CARGO TRANSPORT 5,F101-4649-85,Vista,6122.082,587.5603,183.6126,6893.2549,"Mountain Bike Socks, L; Mountain Bike Socks, M; Mountain-100 Silver, 44; Mountain-100 Black, 42",Clothing; Bikes,Socks; Mountain Bikes,4
43671,SO43671,29890,Basic Bike Company,AW00029890,Port Orchard,Washington,United States,98366,Northwest,PO13978119376,5/31/2011 12:00:00 AM,6/12/2011 12:00:00 AM,6/7/2011 12:00:00 AM,CARGO TRANSPORT 5,DFD9-41B7-94,Vista,8128.7876,780.8136,244.0042,9153.6054,"Road-150 Red, 56; Long-Sleeve Logo Jersey, M; Road-450 Red, 44; Road-650 Black, 44; ML Road Frame - Red, 48; Road-650 Red, 48; Road-450 Red, 60; Road-650 Red, 52; Long-Sleeve Logo Jersey, XL; Sport-100 Helmet, Blue; Sport-100 Helmet, Black",Bikes; Clothing; Components; Accessories,Road Bikes; Jerseys; Road Frames; Helmets,11
43672,SO43672,30067,Red Bicycle Company,AW00030067,Pnot-Rouge,Quebec,Canada,J1E 2T7,Canada,PO13862153537,5/31/2011 12:00:00 AM,6/12/2011 12:00:00 AM,6/7/2011 12:00:00 AM,CARGO TRANSPORT 5,F4B5-48D0-BA,Vista,6124.182,587.6023,183.6257,6895.41,"Mountain Bike Socks, M; Mountain-100 Black, 42; Mountain-100 Silver, 48",Clothing; Bikes,Socks; Mountain Bikes,3
43673,SO43673,29844,Seventh Bike Store,AW00029844,Plaistow,New Hampshire,United States,03865,Northeast,PO13775141242,5/31/2011 12:00:00 AM,6/12/2011 12:00:00 AM,6/7/2011 12:00:00 AM,CARGO TRANSPORT 5,260F-4DCF-A1,Vista,3746.2015,357.9614,111.8629,4216.0258,"Road-450 Red, 58; Long-Sleeve Logo Jersey, L; LL Road Frame - Red, 60; Road-650 Red, 62; Road-650 Red, 44; LL Road Frame - Black, 52; Road-650 Black, 52; AWC Logo Cap; Sport-100 Helmet, Black; Sport-100 Helmet, Blue; Sport-100 Helmet, Red",Bikes; Clothing; Components; Accessories,Road Bikes; Jerseys; Road Frames; Caps; Helmets,11
43674,SO43674,29596,Requisite Part Supply,AW00029596,Ottawa,Ontario,Canada,K4B 1S2,Canada,PO12760141756,5/31/2011 12:00:00 AM,6/12/2011 12:00:00 AM,6/7/2011 12:00:00 AM,CARGO TRANSPORT 5,4C12-4FF9-80,SuperiorCard,2624.382,251.9407,78.7315,2955.0542,"Road-450 Red, 52",Bikes,Road Bikes,1
43675,SO43675,29827,First Bike Store,AW00029827,Odessa,Missouri,United States,64076,Central,PO12412186464,5/31/2011 12:00:00 AM,6/12/2011 12:00:00 AM,6/7/2011 12:00:00 AM,CARGO TRANSPORT 5,5069-4470-BE,Vista,5716.3102,546.8759,170.8987,6434.0848,"Road-650 Red, 62; Sport-100 Helmet, Blue; LL Road Frame - Black, 52; Sport-100 Helmet, Black; Road-650 Red, 44; Road-450 Red, 52; AWC Logo Cap; Road-450 Red, 58; Long-Sleeve Logo Jersey, L",Bikes; Accessories; Components; Clothing,Road Bikes; Helmets; Road Frames; Caps; Jerseys,9
43676,SO43676,29811,Trusted Catalog Store,AW00029811,Newport News,Virginia,United States,23607,Southeast,PO11861165059,5/31/2011 12:00:00 AM,6/12/2011 12:00:00 AM,6/7/2011 12:00:00 AM,CARGO TRANSPORT 5,11BA-4D19-B7,ColonialVoice,14203.458,1363.266,426.0206,15992.7446,"Mountain-100 Black, 42; Mountain-100 Black, 48; Mountain Bike Socks, L; Mountain-100 Black, 38; Mountain Bike Socks, M",Bikes; Clothing,Mountain Bikes; Socks,5
43677,SO43677,29824,Superb Sales and Repair,AW00029824,Montreal,Quebec,Canada,H1Y 2H3,Canada,PO11049174786,5/31/2011 12:00:00 AM,6/12/2011 12:00:00 AM,6/7/2011 12:00:00 AM,CARGO TRANSPORT 5,8E3A-4564-99,SuperiorCard,7793.1108,747.1011,233.4691,8773.681,"Long-Sleeve Logo Jersey, L; Road-150 Red, 56; Road-450 Red, 52; Road-650 Black, 52; Sport-100 Helmet, Black; Road-650 Red, 60; Road-650 Black, 58; Road-650 Red, 48; AWC Logo Cap; Sport-100 Helmet, Red; Road-450 Red, 58; LL Road Frame - Red, 60",Clothing; Bikes; Accessories; Components,Jerseys; Road Bikes; Helmets; Caps; Road Frames,12
43678,SO43678,29889,Separate Parts Corporation,AW00029889,Monrovia,California,United States,91016,Southwest,PO10817150168,5/31/2011 12:00:00 AM,6/12/2011 12:00:00 AM,6/7/2011 12:00:00 AM,CARGO TRANSPORT 5,FBD8-4CE4-8B,Vista,9799.9243,942.074,294.3981,11036.3964,"Road-650 Red, 60; LL Road Frame - Black, 52; Road-650 Black, 58; ML Road Frame - Red, 48; Road-650 Red, 44; Road-650 Red, 62; AWC Logo Cap; Sport-100 Helmet, Black; LL Road Frame - Red, 60; Road-450 Red, 44; LL Road Frame - Red, 44; Long-Sleeve Logo Jersey, XL; Road-650 Black, 52; Road-450 Red, 52; Long-Sleeve Logo Jersey, L; Road-450 Red, 58; Road-450 Red, 60; Sport-100 Helmet, Blue; Sport-100 Helmet, Red",Bikes; Components; Clothing; Accessories,Road Bikes; Road Frames; Caps; Helmets; Jerseys,19
43679,SO43679,29761,General Bike Corporation,AW00029761,Mississauga,Ontario,Canada,L5B 3V4,Canada,PO10527142759,5/31/2011 12:00:00 AM,6/12/2011 12:00:00 AM,6/7/2011 12:00:00 AM,CARGO TRANSPORT 5,918F-49F3-AD,SuperiorCard,1316.0575,125.8032,39.3135,1481.1742,"Road-650 Red, 60; Road-650 Black, 52; Long-Sleeve Logo Jersey, L",Bikes; Clothing,Road Bikes; Jerseys,3
43680,SO43680,29489,Area Bike Accessories,AW00029489,Modesto,California,United States,95354,Southwest,PO10730130087,5/31/2011 12:00:00 AM,6/12/2011 12:00:00 AM,6/7/2011 12:00:00 AM,CARGO TRANSPORT 5,FF1F-4DD0-98,Distinguish,11397.4992,1093.6394,341.7623,12832.9009,"Road-650 Red, 60; Road-450 Red, 44; LL Road Frame - Black, 52; Sport-100 Helmet, Red; LL Road Frame - Red, 60; Sport-100 Helmet, Blue; Long-Sleeve Logo Jersey, L; LL Road Frame - Red, 44; Road-450 Red, 52; Road-650 Red, 62; Road-150 Red, 56; Sport-100 Helmet, Black",Bikes; Components; Accessories; Clothing,Road Bikes; Road Frames; Helmets; Jerseys,12
